"All Cancer Sites Combined"
"Recent Trends in SEER Age-Adjusted Incidence Rates, 2000-2019"
"By Sex, Delay-adjusted SEER Incidence Rate, All Races, All Ages"
""

"Sex","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates"
"Sex","Year Range","APC (%)","Lower 95% C.I.","Upper 95% C.I.","P-Value","Direction"
"Female","2000-2019","0.0","-0.0","0.1","0.47","Not Significant"
"Male","2000-2008","-0.4","-0.8","-0.1","0.03","Falling"
"Male","2008-2013","-2.5","-3.6","-1.5","<0.01","Falling"
"Male","2013-2019","-0.2","-0.7","0.4","0.53","Not Significant"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sex","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates"
"Sex","Year Range","AAPC (%)","Lower 95% C.I.","Upper 95% C.I.","P-Value","Direction"
"Female","2010-2019","0.0","-0.0","0.1","0.47","Not Significant"
"Female","2015-2019","0.0","-0.0","0.1","0.47","Not Significant"
"Male","2010-2019","-1.0","-1.4","-0.5","<0.01","Falling"
"Male","2015-2019","-0.2","-0.7","0.4","0.53","Not Significant"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""

"SEER 22 areas (San Francisco, Connecticut, Hawaii, Iowa, New Mexico, Seattle, Utah, Atlanta, San Jose-Monterey, Los Angeles, Alaska Native Registry, Rural Georgia, California excluding SF/SJM/LA, Kentucky, Louisiana, New Jersey, Georgia excluding ATL/RG, Idaho, New York, Massachusetts, Illinois and Texas)."
"Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (19 age groups - Census P25-1130).The Annual Percent Change (APC) and Average Annual Percent Change (AAPC) estimates were calculated from the underlying rates using the Joinpoint Trend Analysis Software, Version 4.9, March 2021, National Cancer Institute.The APC's/AAPC's direction is 'Rising' when the entire 95% confidence interval (C.I.) is above 0, 'Falling' when the entire 95% C.I. is lower than 0, otherwise, the trend is considered 'Not Significant'."
"Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA). Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA). For more details on SEER race/ethnicity groupings and changes made to the grouping for this year's data release, please see Race and Hispanic Ethnicity Changes."
"See SEER*Explorer Cancer Site Definitions for details about the coding used for SEER Incidence data."
Created by https://seer.cancer.gov/statistics-network/explorer on Thu Nov 03 2022.
